REFERENCE_NON_TROUVEE,MATCH_1,SCORE_1,MATCH_2,SCORE_2,MATCH_3,SCORE_3,MATCH_4,SCORE_4,MATCH_5,SCORE_5
041700,41700,90.9090909090909,41706,72.72727272727273,41708,72.72727272727273,41720,72.72727272727273,41740,72.72727272727273
041706,41706,90.9090909090909,41700,72.72727272727273,41708,72.72727272727273,41720,72.72727272727273,41740,72.72727272727273
041708,41708,90.9090909090909,41700,72.72727272727273,41706,72.72727272727273,41720,72.72727272727273,41740,72.72727272727273
041712,41712,90.9090909090909,41720,72.72727272727273,10017120,71.42857142857143,10017121,71.42857142857143,10017122,71.42857142857143
041720,41720,90.9090909090909,41700,72.72727272727273,41706,72.72727272727273,41708,72.72727272727273,41712,72.72727272727273
047629,47629,90.9090909090909,47632,72.72727272727273,47642,72.72727272727273,47679,72.72727272727273,47729,72.72727272727273
047643,47643,90.9090909090909,47630,72.72727272727273,47631,72.72727272727273,47632,72.72727272727273,47633,72.72727272727273
047679,47679,90.9090909090909,47629,72.72727272727273,47678,72.72727272727273,47729,72.72727272727273,47739,72.72727272727273
047710,47710,90.9090909090909,47720,72.72727272727273,47721,72.72727272727273,47730,72.72727272727273,47731,72.72727272727273
047728,47728,90.9090909090909,47678,72.72727272727273,47720,72.72727272727273,47721,72.72727272727273,47723,72.72727272727273
047746,47746,90.9090909090909,47734,72.72727272727273,47774,72.72727272727273,D01477,66.66666666666667,8074,60.0
049135,49135,90.9090909090909,49130,72.72727272727273,49136,72.72727272727273,49165,72.72727272727273,49635,72.72727272727273
049735,49735,90.9090909090909,47735,72.72727272727273,49135,72.72727272727273,49635,72.72727272727273,49713,72.72727272727273
049741,49741,90.9090909090909,49441,72.72727272727273,49541,72.72727272727273,49641,72.72727272727273,49713,72.72727272727273
11101-00454-017,1110100454017,92.85714285714286,1110100454001,85.71428571428572,1110100454007,85.71428571428572,1110100454010,85.71428571428572,1110100454011,85.71428571428572
11101-05900-038,1110105900038,92.85714285714286,1110105900003,85.71428571428572,1110105900028,85.71428571428572,1110105900033,85.71428571428572,1110105900034,85.71428571428572
11101-05950-025,1110105950025,92.85714285714286,1110105950021,85.71428571428572,1110105950022,85.71428571428572,1110105950024,85.71428571428572,1110105950026,85.71428571428572
11106-42140-005,1110642140005,92.85714285714286,1110641214000,85.71428571428572,1110642100005,85.71428571428572,1110642110005,85.71428571428572,1110642140001,85.71428571428572
11108-50701-002,1110850701002,92.85714285714286,1110850101002,85.71428571428572,1110850201002,85.71428571428572,1110850701003,85.71428571428572,1110850701005,85.71428571428572
11108-53001-000,1110853001000,92.85714285714286,1110803001000,85.71428571428572,1110853001001,85.71428571428572,1110853001002,85.71428571428572,1110853002000,85.71428571428572
11108-53002-001,1110853002001,92.85714285714286,1110853001001,85.71428571428572,1110853002000,85.71428571428572,1110853002002,85.71428571428572,1110853002003,85.71428571428572
21102-00145-035,2110200145035,92.85714285714286,2110200145003,85.71428571428572,2110200145013,85.71428571428572,2110200145015,85.71428571428572,2110200145023,85.71428571428572
